sku,brand,name,color
JO948AA41UESMY,Jovian Mandagie for Zalora,ArtDeco Amelie Dress,Brown
JO948AA33UFAMY,Jovian Mandagie for Zalora,ArtDeco Annmarie Dress,Beige
JO124AA67BYUMY,Jovian,Coco Galila Maxi Dress,Pink
JO948AA24UFJMY,Jovian Mandagie for Zalora,ArtDeco Ardelia Dress,Brown
JO948AA25UFIMY,Jovian Mandagie for Zalora,ArtDeco Ardelia Dress,Blue
JO948AA56UEDMY,Jovian Mandagie for Zalora,ArtDeco Abil Baju Kurung,Red
CH152AA10RHHSG,Chantilly by Jovian Mandagie,Colleen Baju Kurung,Yellow
JO948AA19UFOMY,Jovian Mandagie for Zalora,ArtDeco Adreanna Dress,Grey
JO948AA51UEIMY,Jovian Mandagie for Zalora,ArtDeco Adalynn Baju Kurung,Black
JO948AA18UFPMY,Jovian Mandagie for Zalora,ArtDeco Adreanna Dress,Blue
JO948AA20UFNMY,Jovian Mandagie for Zalora,ArtDeco Ariaa Baju Kurung,Mint Green
JO948AA28UFFMY,Jovian Mandagie for Zalora,ArtDeco Allayna Baju Kurung,Green
JO948AA36UEXMY,Jovian Mandagie for Zalora,ArtDeco Alecia Baju Kurung,Dusty Pink
CH152AA00RHRSG,Chantilly by Jovian Mandagie,Cassandra Baju Kurung,Red
CH152AA76RIPSG,Chantilly by Jovian Mandagie,Charice Baju Kurung,Powder Blue
CH152AA79RIMSG,Chantilly by Jovian Mandagie,Charlaine Baju Kurung,Blue
CH152AA99RHSSG,Chantilly by Jovian Mandagie,Christa Baju Kurung,Fuchsia
JO948AA15UFSMY,Jovian Mandagie for Zalora,ArtDeco Agnes Baju Kurung,Pink
JO948AA16UFRMY,Jovian Mandagie for Zalora,ArtDeco Agnes Baju Kurung,Black
JO948AA17UFQMY,Jovian Mandagie for Zalora,ArtDeco Angeline Baju Kurung,Brown
JO948AA21UFMMY,Jovian Mandagie for Zalora,ArtDeco Ariaa Baju Kurung,Black
JO948AA22UFLMY,Jovian Mandagie for Zalora,ArtDeco Anastasia Baju Kurung,Brown
JO948AA26UFHMY,Jovian Mandagie for Zalora,ArtDeco Arabella Baju Kurung,Beige
JO948AA32UFBMY,Jovian Mandagie for Zalora,ArtDeco Annmarie Dress,Brown
JO948AA34UEZMY,Jovian Mandagie for Zalora,ArtDeco Allana Baju Kurung,Red
JO948AA37UEWMY,Jovian Mandagie for Zalora,ArtDeco Alecia Baju Kurung,Black
JO948AA39UEUMY,Jovian Mandagie for Zalora,ArtDeco Arlene Baju Kurung,Black
JO948AA40UETMY,Jovian Mandagie for Zalora,ArtDeco Amelie Dress,Purple
JO948AA42UERMY,Jovian Mandagie for Zalora,ArtDeco Annina Dress,Brown
JO948AA44UEPMY,Jovian Mandagie for Zalora,ArtDeco Adelle Dress,Emerald
JO948AA46UENMY,Jovian Mandagie for Zalora,ArtDeco Arian Dress,Emerald
JO948AA47UEMMY,Jovian Mandagie for Zalora,ArtDeco Arian Dress,Red
JO948AA48UELMY,Jovian Mandagie for Zalora,ArtDeco Andrea Baju Kurung,Maroon
JO948AA49UEKMY,Jovian Mandagie for Zalora,ArtDeco Andrea Baju Kurung,Dusty Pink
JO948AA50UEJMY,Jovian Mandagie for Zalora,ArtDeco Adalynn Baju Kurung,Dusty Pink
JO948AA52UEHMY,Jovian Mandagie for Zalora,ArtDeco Adalia Baju Kurung,Dark Green
JO948AA53UEGMY,Jovian Mandagie for Zalora,ArtDeco Adalia Baju Kurung,Black
JO948AA55UEEMY,Jovian Mandagie for Zalora,ArtDeco Acacia Baju Kurung,Black
JO948AA57UECMY,Jovian Mandagie for Zalora,ArtDeco Abil Baju Kurung,Black
JO948AA58UEBMY,Jovian Mandagie for Zalora,ArtDeco Afreda Dress,Red
