sku,brand,name,color
MA022AC16ORNSG,Mango,Cross-Body Triple Bag,Medium Red
ST549AC57IYWSG,Stef & Co,Daffodil Handbag With Adjustable Strap,Camelia
ST549AC58IYVSG,Stef & Co,Daffodil Handbag With Adjustable Strap,Taupe
MA022AC74KXDSG,Mango,Cross-Body Triple Bag,Black
ST549AC09WUSSG,Stef & Co,Dunsfold Cow Leather Long Wallet,Brown
ST549AC51IZCSG,Stef & Co,Gummies Long Wallet,Brown
AM536AC91NOASG,American Tourister,Smart Boston Bag 47,Purple
FJ859AC91RFWSG,Fjallraven Kanken,Lake Blue Gear Pocket,Lake Blue
HE305AC02GZHSG,Herschel,Edward Wallet,Navy/Red
JA903AC15KQYSG,Jane Shilton,Halona Leather Card Holder,Taupe
LE992AC85ZXASG,LeSportsac,Travel Cosmetic Pouch,Blooming Hearts
MA022AC01YNUSG,Mango,Chain Bag,Black
MA022AC73MXASG,Mango,Tassel Wallet,Black
MA022AC73OTESG,Mango,Pebbled Wallet,Medium Brown
MA022AC77MWWSG,Mango,Top Handle Bag,Black
MA022AC78OSZSG,Mango,Zip Purse,Bright Red
MA022AC79NFSSG,Mango,Flap Saffiano-effect Purse,Dark Blue
MA022AC82OSVSG,Mango,Essential Wallet,Black
SA186AC56XSTSG,Samsonite,Travel Link Excursion Bag,Black
ST549AC59IYUSG,Stef & Co,Daffodil Handbag With Adjustable Strap,Dark Red
