sku,brand,name,color
RI923AA35VXGSG,river island,window pane print shirt dress,White Check
NE001AA75LMMSG,new look,chiffon bird print belted skater dress,pink pattern
DO016AA71QYYSG,dorothy perkins,red floral placket dress,cream
CL862AA20UHNSG,closet,summer butterflies dress,Navy/Multi
DO016AA58YEBSG,dorothy perkins,flippy dress,DARK GREEN
LI234AA55BKUSG,little match girl,vintage flora dress,tiffany
MO918AA00KGTSG,moon river,Harper Day Dress,Purple
FA502AA10SCFSG,factorie,tube maxi skirt,navy/white stripe
FI904AA70PWBSG,finery london,barrett full pleat detail skirt,red
ZA145AA36NNVSG,zalia,pleated skirt,navy
FI904AA71PWASG,finery london,Judd Printed lace skirt,multi
JE490AA84RPVSG,jean lauie,high waist flare skirt,blue
ZI998AA12GYTSG,ziztar,foral revolution midi skirt,pink
JE490AA83RPWSG,jean laurie,high waist flare skirt,multi
DO016AA65BTYSG,dorothy perkins, grey jersey zig zag maxi,grey
DO016AA91MFCSG,dorothy perkins, green pleat maxi skirt, green
CL862AA64AFNSG,closet,Summer Time Floral Belted Skater Dress, Teal Multi from Teal Gold
CL862AA97CTQSG,closet,Summer Butterflies Dress,White/Baby Blue
DO016AA57ZBASG,dorothy perkins, petite blue gypsy dress, blue
